id,day,program,text,question_id,question_response,variant_id,variant_conditions,hour_utc,active,created_at,updated_at
1,0,clear30,"Hey _CLIENTNAME_ – congrats on starting your Clear30 journey! My name’s Gerard. I used to smoke every day, but I was able to stop — I haven’t smoked in over 11 months now.
I’m here if you have any questions or just want to talk things through. I’ll only reply when you message me first, and while it might not be right away, I’ll always get back to you as soon as I can.",,,,,16,false,2026-02-09 22:24:31.752518+00,2026-02-09 22:24:31.752518+00
2,0,life,"Hey _CLIENTNAME_, this is Gerard from Clear30, congrats on starting your weed tracking journey! Just wanted to reach out and let you know that I’m here if you need anything / have any questions!",,,,,16,false,2026-02-09 22:24:31.752518+00,2026-02-09 22:24:31.752518+00
17,29,clear30,"Hey _CLIENTNAME_, you're almost there! Just one day left 🔥

We're collecting video testimonials from people who are finishing the clear30 - because your story might be what helps someone else believe they can do it too.

What we're asking:
🎥 3-5 min video
💬 Just you talking about your experience
💰 $25 via Venmo/PayPal/Zelle
⭐️ Click the ""Share Your Story"" button in the Support tab to get started!

Questions? Just reply to this!
 - Gerard",,,,,16,true,2026-02-16 18:24:07.326442+00,2026-02-16 18:24:07.326442+00
18,3,clear30,"Hi _CLIENTNAME_,

Feeling mentally cluttered? Try a ""brain dump"" tonight. 📝

Before bed, jot down all your thoughts and to-dos. Getting it out on paper can help you wake up with a clearer mind.

If you have any questions or need anything, just reply!",Break-Reason,Gain Mental Clarity,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
19,3,clear30,"Hi _CLIENTNAME_,

Mind racing? Let's declutter it together! 🧠

Try this: Write down your worries on paper, then sort them into ""Can Control"" and ""Can't Control."" It's a powerful way to focus your energy where it matters most.

If you have any questions or need anything, just reply!",Break-Reason,Reduce Anxiety,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
20,3,clear30,"Hi _CLIENTNAME_,

Feeling down? Let's lift your spirits together! 🌅

Try a ""Gratitude Journal"":

Tonight, write down 3 things you're thankful for—even small things like a good cup of coffee or a kind gesture. It's a simple way to refocus on the positives and brighten your mood.

If you have any questions or need anything, just reply!",Break-Reason,Reduce Depression,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
21,3,clear30,"Hi _CLIENTNAME_,

Need a mental escape? ""Box Breathing"" can help 📦

Inhale for 4 seconds ➡️ Hold for 4 ➡️ Exhale for 4 ➡️ Hold for 4. Repeat. It's a powerful way to calm your mind and reset your thoughts.

If you have any questions or need anything, just reply!",Break-Reason,Reduce Being Stuck in Own Head,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
22,3,clear30,"Hi _CLIENTNAME_,

Trouble drifting off? Try the ""Military Method"" 💤

Relax your face muscles, drop your shoulders, exhale, and imagine a calm scene. Many nod off in under 2 minutes!

If you have any questions or need anything, just reply!",Break-Reason,Improve Sleep Quality,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
23,3,clear30,"Hi _CLIENTNAME_,

Looking for an easy way to build self-control? Try ""Habit Stacking""! 🧱

Attach a new habit to something you already do. For example: After brewing your morning coffee, spend 2 minutes setting your daily intentions. Small shifts like this make new habits stick effortlessly.

If you have any questions or need anything, just reply!",Break-Reason,Improve Self-Control and Intention,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
24,3,clear30,"Hi _CLIENTNAME_,

Ready to take control? Let's take the first step together! 🚶‍♂️

Try ""Delay and Distract"":

When you feel the urge, set a timer for 15 minutes and do something you enjoy—like a hobby or a quick workout. By the time the timer ends, the craving often fades.

If you have any questions or need anything, just reply!",Break-Reason,Reduce Dependency on Cannabis,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
