id,title,body,question_id,question_response,metadata,active,order
1,Brain fog again?,A break from weed clears the filter.,Break-Reason,Gain Mental Clarity,,false,0
2,Always kinda on edge?,Take a break. Rebuild your baseline.,Break-Reason,Reduce Anxiety,,false,0
3,Mood stuck on low?,Clear30 can help lift the fog.,Break-Reason,Reduce Depression,,false,0
4,Feel kinda far from yourself?,Clear30 helps you come home to you.,Break-Reason,Reduce Being Stuck in Own Head,,false,0
5,Tired of being tired?,Clear30 helps your sleep reset itself.,Break-Reason,Improve Sleep Quality,,false,0
6,You're not lazy.,You're just stuck in the loop.,Break-Reason,Improve Self-Control and Intention,,false,0
7,Just getting high to feel normal?,You're not alone. Clear30 can help.,Break-Reason,Reduce Dependency on Cannabis,,false,0
8,Who are you without weed?,Clear30 helps you find out.,Break-Reason,Explore Life Without Cannabis,,false,0
9,You want to feel better,Clear30 helps your body catch up.,Break-Reason,Improve Overall Health,,false,0
10,Your lungs deserve better,Give them 30 clear days.,Break-Reason,Improve Lung Health,,false,0
11,To-do list > couch,Clear30 helps you get back in gear,Break-Reason,Increase Productivity,,false,0
12,Big goals? Small habits.,Start with 30 days of clarity.,Break-Reason,Increase Productivity,,false,0
13,Motivation isn't missing,It's buried under the fog.,Break-Reason,Increase Motivation,,false,0
14,The slump is real,So is your comeback. Start today.,Break-Reason,Increase Motivation,,false,0
15,Tired of talking about it?,Do something different for 30 days.,Break-Reason,Increase Motivation,,false,0
16,"$40 here, $60 there...",It adds up. Clear30 helps stop the bleed.,Break-Reason,Save Money,,false,0
17,Where'd your money go?,Weed. Probably. Wanna switch that up?,Break-Reason,Save Money,,false,0
18,You ever do the math?,30 days off = real savings.,Break-Reason,Save Money,,false,0
19,Weed tax is real,Take a break. Reclaim your cash.,Break-Reason,Save Money,,false,0
20,Connection > distraction,Take a break. Be more available.,Break-Reason,Improve Current Relationships,,false,0
21,"High, but disconnected",Clear30 helps rebuild real connection.,Break-Reason,Improve Current Relationships,,false,0
22,Feeling kind of alone?,Clarity can help open things up.,Break-Reason,Enhance Social Connections,,false,0
23,Social but not connected?,Clear30 clears the static.,Break-Reason,Enhance Social Connections,,false,0
24,You're not just background energy,Clear30 helps you light up a room.,Break-Reason,Enhance Social Connections,,false,0
25,Clear mind. Clean results.,Start now. You've got this.,Break-Reason,Pass Work-Required Drug Test,,false,0
26,Eyes on the goal,Clear30 helps you stay eligible + focused.,Break-Reason,Pass Work-Required Drug Test,,false,0
27,Clean test = open door,Clear30 helps you walk through it.,Break-Reason,Pass Work-Required Drug Test,,false,0
28,Most people wait too long,You've got time. Let's use it right.,Break-Reason,Pass Work-Required Drug Test,,false,0
29,Forget fake detox kits,Clear30 actually helps you stay clean.,Break-Reason,Pass Work-Required Drug Test,,false,0
30,Clean record > close call,30 days can help you stay on track.,Break-Reason,Meet Legal Obligations,,false,0
31,Freedom hits different,Clear30 helps you protect it.,Break-Reason,Meet Legal Obligations,,false,0
32,Freedom takes discipline,Clear30 helps you lock that in.,Break-Reason,Meet Legal Obligations,,false,0
33,You've come too far,Stay clean. Protect what you've built.,Break-Reason,Meet Legal Obligations,,false,0
34,Wake up proud,"30 days = more energy, less regret.",,,,false,0
35,"Clear head, less weed",Clarity hits different when you take a break.,,,,false,0
36,Quit weed. Keep your edge.,Your sharpest self is one tap away,,,,false,0
37,Less weed. More you.,"Feel sharper, calmer, more alive.",,,,false,0
38,Weed got too routine?,Break the autopilot. Clear30 can help.,,,,false,0
39,Imagine 30 days clear,"No weed. Better sleep, energy, focus.",,,,false,0
40,One tap from clarity 👑,"Cut the weed, keep your power.",,,,false,0
41,You're not quitting forever.,You're just seeing what's possible.,,,,false,0
42,Glow-up starts here,Cut the haze. Tap in.,,,,false,0
43,Clear mind energy,One break away. Try it.,,,,false,0
44,Peace > Numb,A break can help. Just tap.,,,,false,0
45,Main character moment,Cut the haze. Take back the plot.,,,,false,0
46,Take the fog off,Clarity looks better on you.,,,,false,0
47,Still in airplane mode?,Clear30 reconnects you. Try it.,,,,false,0
48,Imagine 30 clear days,Sleep deeper. Think sharper. Save money.,,,,false,0
49,Less autopilot. More intention.,Clear30 helps you take the wheel.,,,,false,0
50,Want to reset without pressure?,We guide. You decide. Tap to start.,,,,false,0
51,Your future self is watching,This might be their favorite decision.,,,,false,0
52,Feeling a craving? 😖,"Free meditation right here, no subscription needed",,,"{""url"": ""https://clear30.org/redir/?des=craving""}",false,0
53,Feeling stuck? Write it out. ✍️,Click here for free 30-day journaling pack,,,"{""url"": ""https://clear30.org/redir/?des=journal""}",false,0
54,🌱 Want extra support?,We partnered with BetterHelp — get 20% off therapy,,,"{""url"": ""https://clear30.org/redir/?des=therapy_noti""}",false,0
55,🎁 Your free Support Kit is ready,"Strategies, roadmaps, and planners — all in one place",,,"{""url"": ""https://clear30.org/redir/?des=suppkt""}",false,0
56,We’ve got you covered 💚,Take 33% off Clear30 — your journey’s still waiting,,,"{""placement"": ""33off""}",false,0
57,Not an app person? 📦,"Tap for 30 days of supplements + printable guides, no screen needed",,,"{""url"": ""https://shop.clear30.org/products/clear30-diy-bundle?utm_source=push_ao""}",true,0
58,Withdrawal is physical 🧠,Tap to support your brain chemistry with 30 days of supplements,,,"{""url"": ""https://shop.clear30.org?utm_source=push_ao""}",true,1
59,Know what to do when it hits 📖,Tap for a science-backed guide for every withdrawal symptom,,,"{""url"": ""https://shop.clear30.org/products/symptom-packet?utm_source=push_ao""}",true,2
60,Need to calm down? 🧘,"Tap for free craving meditations, no subscription needed",,,"{""url"": ""https://shop.clear30.org/products/meditation-pack?utm_source=push_ao""}",true,3
61,Feeling stuck? Write it out. ✍️,Tap to grab your free 30-day journaling prompts,,,"{""url"": ""https://shop.clear30.org/products/clear30-journaling-pack?utm_source=push_ao""}",true,4
62,🎁 Your free Support Kit is ready,"Tap for strategies, roadmaps, and planners — all in one place",,,"{""url"": ""https://shop.clear30.org/products/clear30-support-kit?utm_source=push_ao""}",true,5
63,Track your progress 📅,Tap to grab a free calendar you can print and put on your wall,,,"{""url"": ""https://shop.clear30.org/products/clear30-calendar?utm_source=push_ao""}",true,6
