id,paywall_id,hard
1,calorie-tracking-template-7b37-2025-04-28,true
2,discount-offer-template-d87c-2025-04-28,true
3,cal-ai-clone-main-cheaper-products-d2a2-2025-05-07,true
4,calai---10m-40y-5a98-2025-05-09,true
5,calai---15m-50y-d7ed-2025-05-09,true
6,calai---10m-30y-fc48-2025-05-09,true
7,calai---15m-40y-9f5b-2025-05-09,true
9,calai-oto---30--20-4096-2025-05-09,true
11,calai-oto---40--30-0499-2025-05-09,true
12,discount-offer-template-d87c-2025-04-28,true
13,calai-new-features---10m-30y-bcff-2025-05-29,true
14,calai-v2-c30-notification-toggle---10m-30y-fa22-2025-05-31,true
15,calai-v2-c30-real-notification-toggle---10m-30y-116d-2025-05-31,true
16,calai-v2-c30---5w-30y-d5b4-2025-06-02,true
17,calai-v2-c30---5w-15m-3c0f-2025-06-02,true
18,popup-invest-in-self---20-6490-2025-06-02,true
19,popup---20-01a2-2025-06-02,true
20,popup-simplicity--clarity---20-3c37-2025-06-02,true
21,popup-future-vision---20-17d4-2025-06-02,true
22,popup-regain-control---20-27aa-2025-06-02,true
