id,key,name,description,category,subcategory,sf_symbol,rarity_id,check_type,check_params,is_active,display_order,created_at,updated_at,notification_body,notification_delay_minutes,notification_title
1,tutorial_completer,Tutorial Master,Completed the Clear30 tutorial,in_app_activity,firsts,book.fill,1,count,"{""count"":1,""activity"":""tutorial_completion""}",false,54,2025-10-18 22:47:39.647447+00,2025-10-29 21:08:32.479631+00,First step complete. The real journey begins.,,📚 Tutorial: crushed
20,first_day,First Step,First day without weed,without_weed,time,leaf.arrow.circlepath,1,cumulative,"{""days"":1}",true,1,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Day one down. Your brain cells are throwing confetti.,,🍃 Streak: activated
21,three_days,Fresh Start,3 days without weed,without_weed,time,sunrise.fill,1,cumulative,"{""days"":3}",true,2,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Achievement alert: Fresh Start acquired.,,🌅 Three-day flex unlocked
22,week_warrior,Clear Week,7 days without weed,without_weed,time,wind,1,cumulative,"{""days"":7}",true,3,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your body's staging a coup against old habits.,,🌪️ One week rebellion
23,fortnight_champion,Two-Week Trek,14 days without weed,without_weed,time,figure.hiking,2,cumulative,"{""days"":14}",true,4,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Halfway up clarity mountain. View's getting good.,,🥾 Two-week mountain climbed
24,three_week_milestone,Three-Week Climb,21 days without weed,without_weed,time,mountain.2.fill,2,cumulative,"{""days"":21}",true,5,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,The summit's in sight. Oxygen levels increasing.,,🏔️ Three weeks at altitude
25,clear30_graduate,Month Master,30 days without weed,without_weed,time,bolt.fill,3,cumulative,"{""days"":30}",true,6,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,You've officially joined the clarity club.,,⚡ 30 days: achievement unlocked
26,45_day_legend,Phoenix Rising,45 days without weed,without_weed,time,flame.fill,3,cumulative,"{""days"":45}",true,7,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Rising from the ashes of your old habits.,,🔥 Phoenix mode: engaged
27,half_century,Mind Liberator,50 days without weed,without_weed,time,key.fill,3,cumulative,"{""days"":50}",true,8,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your brain's sending a thank you note.,,🔑 50 days: mind unlocked
28,two_month_milestone,Sixty Strong,60 days without weed,without_weed,time,shield.fill,3,cumulative,"{""days"":60}",true,9,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Two months of neural fortification complete.,,🛡️ Armor: fully upgraded
29,75_day_summit,Summit Reacher,75 days without weed,without_weed,time,flag.fill,4,cumulative,"{""days"":75}",true,10,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your flag has been planted at the peak.,,🏁 75-day summit conquered
30,century_club,Century Champion,100 days without weed,without_weed,time,crown.fill,4,cumulative,"{""days"":100}",true,11,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,100 days of neural restoration. Royalty status achieved.,,👑 Triple digits entered
31,coffee_break,Pocket Change,$5 saved from not buying weed,without_weed,money,cup.and.saucer.fill,1,milestone,"{""type"":""money_saved"",""amount"":5}",false,12,2025-10-15 23:05:57.83498+00,2025-10-29 21:09:20.709549+00,Your wallet's first victory. See what happened.,,☕ Found: $5 in your pocket
32,lunch_special,Meal Money,$15 saved from not buying weed,without_weed,money,fork.knife,1,milestone,"{""type"":""money_saved"",""amount"":15}",true,13,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your bank account's sending good vibes.,,🍔 Lunch money acquired
33,coffee_fund,Savings Start,$25 saved from not buying weed,without_weed,money,arrow.up.forward.app.fill,1,milestone,"{""type"":""money_saved"",""amount"":25}",true,14,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your wallet's getting noticeably heavier.,,📈 $25 savings initiated
