stage,title,subtitle,body,color1,color2,fred_experience
awareness,Awareness,Understanding Triggers and Emotions,"Welcome to the Awareness section of your Clear30 journey! This week, we'll focus on increasing your self-awareness and understanding the triggers that influence your cannabis use. Here's a high-level overview of what you'll explore:

**Self-Acceptance** 💖: Embrace yourself unconditionally.

**Identify Triggers** 🔍: Recognize patterns in your behavior.

**Emotional Awareness** 🧠: Understand how emotions impact your use.

**Environmental & Social Triggers** 🏠👥: Manage your surroundings and interactions.

**Socratic Self-Examination** 🌟: Explore your deeper motivations.

By becoming more aware of these factors, you'll gain valuable insights and develop strategies to support your goals. Let's dive in and uncover the triggers that influence your journey! 🚀",51A86E,489D64,
building_habits,Building Habits,Establish Routines for Lasting Success,"Welcome to the Building Habits section of your Clear30 journey! This week, we'll focus on creating and reinforcing habits that support your goals.

**Here’s what you’ll gain:**

**Consistency** 🔄: Build routines that stick.
**Well-being** 🧘: Incorporate relaxation techniques.
**Activity** 🏃‍♂️: Stay physically active.
**Motivation** 🌟: Stay driven and focused.

Together, we'll establish a strong foundation for lasting change. Get ready to transform your habits and achieve your goals! 🚀",E07548,D56C42,
celebration,Celebration,Recognize Your Achievements,"Welcome to the Celebration section of Clear30! This week, we’ll help you appreciate your progress and achievements, enhancing your motivation and well-being. Here’s how this section will help you:

**Savor Positive Experiences** 🌅: Enhance well-being by appreciating positive moments.

**Document Your Journey** 📔: Track progress and celebrate milestones.

**Letters to Self** 💌: Reflect on growth and offer encouragement.

By focusing on celebration, you can reinforce your achievements, boost your motivation, and enjoy the journey. 🌟",e0a552,dd9a3c,
discovering_motivations,Discovering Your Motivations,Understanding and Strengthening Your 'Why',"Welcome to the Motivations section of your Clear30 journey! This week, we'll delve into understanding and strengthening your motivations for moderating cannabis use. Here's a high-level overview of what you'll explore:

**Understanding Your 'Why'** 🔍: Dive deep into your core motivations.

**Benefits Reflection** 🌿: Recognize positive changes and set future goals.

**Healthy Living** 🏃‍♂️🥗: Transform your lifestyle with small, impactful changes.

**Sharing Your Plans** 🗣️: Strengthen your commitment through thoughtful sharing.

By understanding and reinforcing your motivations, you'll stay focused and driven. Let’s uncover what truly drives you! 🚀",DD6956,D25F4E,
exploration,Exploration,Discover New Passions,"Welcome to the Exploration section of Clear30! This week, we'll focus on discovering new hobbies and stepping out of your comfort zone. Here's what you'll gain:

**Discover New Hobbies** 🎨: Try exciting new activities.

**Routine Exploration** 📅: Make new hobbies a regular part of your life.

**Embrace Change** 🌟: Find joy in breaking monotony.

**Celebrate Growth** 🌱: Reflect on the positive changes and new strengths you've developed.

By exploring new activities and embracing change, you can discover new passions, enhance your well-being, and continue growing. 🌟",7A7DC4,7173B7,
finding_balance,Finding Balance in Your Life,Create Stability and Well-Being,"Welcome to the Balance section of your Clear30 journey! This week, we’ll explore how to create harmony in different areas of your life, ensuring you maintain well-being and fulfillment. Here’s a high-level overview of what you'll explore:

**Identifying Forces** 🌟: Understand what helps or hinders your goals.

**Finding Your Balance** ⚖️: Embrace Aristotle’s Golden Mean for moderation.

**Daily Routines** 🗓️: Establish consistent habits for stability.

**Healthy Living** 🥗🏋️: Focus on nutrition, exercise, and relaxation.

**Avoiding Burnout** 🔄: Learn how to stay consistent without overdoing it.

By focusing on these aspects, you'll create a balanced and sustainable lifestyle that supports your goals. Let’s find your perfect balance! 🚀",53acac,64b4b4,
foundations,Foundations,Laying the Groundwork,"Welcome to the Foundation section of your Clear30 journey! This week, we'll focus on setting the groundwork for your success by exploring key concepts and practical strategies. Here's a high-level overview of what you'll explore:

**Goal Setting and Leverage Points** 🌱: Learn to set achievable goals and discover small changes that create big impacts.

**Optimizing Environment and Consistency** 🏡📅: Design surroundings that support your habits and embrace daily progress.

**Motivation and Mindset** 🏃‍♂️💬: Find your motivation for physical activity and strengthen your mindset with affirmations and relaxation techniques.

**Productivity and Resilience** 📝🛠️: Boost productivity with effective methods and prepare for potential obstacles.

By focusing on these foundational elements, you'll build a strong base to support your moderation goals and overall well-being. Let's get started and create lasting change! 🚀",6693D0,6089C3,
growth,Growth,Embrace and Empower Yourself,"Welcome to the Growth section of your Clear30 journey! This week, we’ll focus on self-improvement and developing a growth mindset to help you achieve your goals. Here’s what you’ll explore:

**Visualize Success** 🎯: Harness the power of visualization to achieve your goals.

**Build Healthy Habits** 🏆: Establish routines that support your overall well-being.

**Embrace Relaxation** 🌿: Incorporate relaxation techniques for stress management.

**Stay Motivated** 🏃‍♂️: Find your motivation through fitness and consistency.

By focusing on growth, you’ll develop the resilience and mindset needed to achieve lasting change. Let's grow together! 🚀",5b9b4b,65ac53,
health,Health,Nurture Your Well-Being,"Welcome to the Health section of your Clear30 journey! This week, we’ll focus on enhancing your physical and mental well-being. Here’s how you’ll benefit:

**Balanced Nutrition** 🥗: Discover the power of nutritious meals.

**Regular Exercise** 🏋️: Boost your mood and energy through physical activity.

**Optimal Sleep** 🛌: Improve your sleep quality for better health.

**Mental Health Reflection** 🧠: Evaluate and strengthen your mental health practices.

By focusing on these areas, you'll support your overall health and make it easier to achieve your goals. 🌟",E07750,D56C47,
lock_it_in,Lock It In,Solidify and lock in your new habits,"In this stage, we’ll help you cement the strategies and habits you've built so far and introduce new ones to reinforce your progress.

It's all about shifting from motivation to discipline, from willpower to guaranteed systems.

By the end of this stage, you'll transition from actively working on your habits to having your habits work for you.",5B9CF0,5BAEE6,"Over the next few days, we’ll help you cement the strategies and habits that work for you and introduce concepts to help you start thinking about your next stages. While this is just a guide and doesn’t always jibe with everyone's experience, it follows a bit of a pattern.

For me, it was saying to myself, these things appear to be working. I need to grind on them. It was also the time where I really needed to acknowledge my desire to escape existential angst and explore just how much I was ignoring my long-term goals for short-term relief.

Specifically, it is about taking things like acceptance and thinking about how to lock them into your life a bit more. We have and will present a bunch of topics. The key here is to focus on what works for you using Clairebot and the support groups."
