id,name,headline,color,icon
1,Cravings,Own your impulses,#E74C3C,Zap
2,Anxiety,Find your calm and breathe easy,#3498DB,Wind
3,Sleep,Rest deeply and wake up refreshed,#6C63FF,Moon
4,Mood,Feel stable and balanced,#2ECC71,Heart
5,Energy,Reclaim your drive,#F39C12,Battery
6,Focus,Think clearly and stay on target,#9B59B6,Target
7,Brain Fog,Get your sharpness back,#1ABC9C,Cloud
8,Stress,Handle intense moments with ease,#27AE60,Shield
9,Nausea,Feel stable again,#66D4AB,Droplet
10,Irritability,Get that patience back,#5DADE2,AlertTriangle
11,Muscle Tension,Melt the tightness away,#E3A33D,Activity
12,Dreams,Sleep peacefully again,#BB8FCE,Star
