id,program,question_id,question_response,check_in_days,sober_days,message
1,clear30,Break-Reason,Gain Mental Clarity,6,7,"😤 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

💡 You set out for mental clarity, and you followed through. Staying committed gave you more space to think, focus, and feel present.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
2,clear30,Break-Reason,Reduce Anxiety,6,7,"😤 Locked in all week _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🧘 You set out to reduce anxiety, and you followed through. Sticking with it builds the space to breathe and regain control - keep going.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
3,clear30,Break-Reason,Reduce Depression,6,7,"☺️ Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🌤️ You set out to reduce depression, and you followed through. That commitment to yourself is real—give yourself credit for showing up for what matters to you.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
4,clear30,Break-Reason,Reduce Being Stuck in Own Head,6,7,"😇 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🌍 You set out to break free from feeling stuck, and you followed through. This week, you gave yourself more space to step outside the loop - let that sink in.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
5,clear30,Break-Reason,Improve Sleep Quality,6,7,"😤 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🌙 You set out to improve sleep, and you followed through. Sticking with your decision is already a win - whether you're feeling the effects yet or not, you showed up for yourself this week.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
6,clear30,Break-Reason,Improve Self-Control and Intention,6,7,"🎯 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🧭 You set out to build self-control and intention, and you followed through. Sticking to your choice this week proves that when you set your mind to something, you follow through.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
7,clear30,Break-Reason,Reduce Dependency on Cannabis,6,7,"😤 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🔓 You set out to loosen cannabis’ grip on your life, and you followed through. This week, you made every decision - not the habit. That’s real progress.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
8,clear30,Break-Reason,Explore Life Without Cannabis,6,7,"😤 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🌍 You set out to see what life looks like without cannabis, and you followed through. Now, you’ve got a full week of proof - real experience, not just wondering what if.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
9,clear30,Break-Reason,Improve Overall Health,6,7,"😤 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

💚 You set out to improve your health, and this week, every choice you made backed that up. That’s not just a goal anymore - it’s something you’re actively doing.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
10,clear30,Break-Reason,Improve Lung Health,6,7,"😤 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

💨 You gave your lungs a break, and whether you feel it yet or not, that’s real. Every inhale, a little clearer. Every choice, a little stronger. That’s worth recognizing.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
11,clear30,Break-Reason,Increase Productivity,6,7,"💼 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

📈 You set out to be more productive, and this week, you put yourself in the driver’s seat. More time, more clarity, more energy to put toward what actually matters to you.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
12,clear30,Break-Reason,Increase Motivation,6,7,"🚀 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

⚡ You set out to feel more motivated, and you made it happen. Whether it was big moves or just showing up, you kept the momentum going and that’s what fuels real change.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
13,clear30,Break-Reason,Save Money,6,7,"💰 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

💵 You set out to save money, and this week, you did exactly that—[money saved] back in your pocket. That could cover a night out, a gym membership, or something that actually adds to your life.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
14,clear30,Break-Reason,Improve Current Relationships,6,7,"👥 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🤝 You set out to strengthen your relationships, and this week, you showed up for yourself and the people around you. Being more present, more engaged—it all starts with the choices you make.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
15,clear30,Break-Reason,Enhance Social Connections,6,7,"🥳 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

🎉 You set out to feel more connected, and this week, you gave yourself that chance. More presence, more real moments—every step you take opens the door to something bigger.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
16,clear30,Break-Reason,Pass Work-Required Drug Test,6,7,"🧪 Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

✅ You set out to pass your drug test, and this week, you stayed locked in. That’s real discipline, and every day without smoking gets you closer to crossing that finish line.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
17,clear30,Break-Reason,Meet Legal Obligations,6,7,"⚖️ Locked in all week, _CLIENTNAME_!

Zero days smoking. That kind of focus changes everything.

📜 You set out to meet your legal obligations, and this week, you stuck to it. You kept yourself on track, handled your business, and proved to yourself that you’ve got this.

Take a sec to see what that looks like.

🌟 Check out your End of Week Summary: clear30://week-summary"
