id,day,hour,min_offset,program,matches_program_time,question_id,question_response,text,additional_id,paid
1,0,,60,clear30,false,,,"Hey _CLIENTNAME_ – congrats on starting your Clear30 journey! My name’s Julian. I’m 22 and used to smoke every day, but I was able to stop — I haven’t smoked in over nine months now.
I’m here if you have any questions or just want to talk things through. I’ll only reply when you message me first, and while it might not be right away, I’ll always get back to you as soon as I can.
Here’s a link to add me to your contacts so it’s easy to reach out:
 https://m.clear30.org/Clear30+Contact+Card.vcf",,true
3,0,,60,life,false,,,"Hey _CLIENTNAME_, this is Julian from Clear30, congrats on starting your weed tracking journey! Just wanted to reach out and let you know that I’m here if you need anything / have any questions!",,true
4,1,11,,clear30,false,Break-Reason,Gain Mental Clarity,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part - 
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_. Your brain is adjusting, clearing space. The shift starts now.

No forcing it - just noticing it. Each check-in sharpens the view & keeps you moving forward.

Tap in & lock onto your course. ✅

👉 clear30://check-in
",x,
5,1,11,,clear30,false,Break-Reason,Reduce Anxiety,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

A clearer, calmer mind starts with small shifts.
Every check-in helps you build steadiness, focus, and control.

No pressure - just progress.
Tap in & lock onto your course. ✅

👉 clear30://check-in
",x,
6,1,11,,clear30,false,Break-Reason,Reduce Depression,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

Brighter days don’t happen all at once -
but every small step builds momentum.
Each check-in is a move toward more energy, motivation, and feeling like yourself again.

Tap in & lock onto your course. ✅

👉 clear30://check-in

",x,
7,1,11,,clear30,false,Break-Reason,Reduce Being Stuck in Own Head,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

It’s easy to get lost in overthinking, but clarity comes from action.
Each check-in helps you step out of your head and reconnect with what’s in front of you.

Tap in & lock onto your course. ✅

👉 clear30://check-in
",x,
8,1,11,,clear30,false,Break-Reason,Improve Sleep Quality,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

Deep, restful sleep doesn’t just happen—it’s built.
Each check-in helps reset your rhythm so falling asleep feels natural again.

Tap in & lock onto your course. ✅

👉 clear30://check-in

",x,
9,1,11,,clear30,false,Break-Reason,Improve Self-Control and Intention,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

Self-control comes from knowing where you're headed.
Each check-in helps you move with intention and stay on course.

Tap in & lock onto your course. ✅

👉 clear30://check-in
",x,
10,1,11,,clear30,false,Break-Reason,Reduce Dependency on Cannabis,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

Freedom starts with small shifts.
Each check-in helps you build control and rely on yourself, not a habit.

Tap in & lock onto your course. ✅

👉 clear30://check-in
",x,
11,1,11,,clear30,false,Break-Reason,Explore Life Without Cannabis,"🏁 Day One: Your Launch 👩‍🚀

NASA engineers call the first moments of a rocket launch ""the phase of maximum vulnerability."" ⏳

It’s the hardest part -
but also when momentum takes off. 💡

That’s where you are, _CLIENTNAME_.

This is a chance to see things in a new way.
Each check-in helps you step outside old routines and explore what feels right for you.

Tap in & lock onto your course. ✅

👉 clear30://check-in
",x,
