id,title,body,question_id,question_response
1,Brain fog again?,A break from weed clears the filter.,Break-Reason,Gain Mental Clarity
2,Always kinda on edge?,Take a break. Rebuild your baseline.,Break-Reason,Reduce Anxiety
3,Mood stuck on low?,Clear30 can help lift the fog.,Break-Reason,Reduce Depression
4,Feel kinda far from yourself?,Clear30 helps you come home to you.,Break-Reason,Reduce Being Stuck in Own Head
5,Tired of being tired?,Clear30 helps your sleep reset itself.,Break-Reason,Improve Sleep Quality
6,You're not lazy.,You're just stuck in the loop.,Break-Reason,Improve Self-Control and Intention
7,Just getting high to feel normal?,You're not alone. Clear30 can help.,Break-Reason,Reduce Dependency on Cannabis
8,Who are you without weed?,Clear30 helps you find out.,Break-Reason,Explore Life Without Cannabis
9,You want to feel better,Clear30 helps your body catch up.,Break-Reason,Improve Overall Health
10,Your lungs deserve better,Give them 30 clear days.,Break-Reason,Improve Lung Health
11,To-do list > couch,Clear30 helps you get back in gear,Break-Reason,Increase Productivity
12,Big goals? Small habits.,Start with 30 days of clarity.,Break-Reason,Increase Productivity
13,Motivation isn't missing,It's buried under the fog.,Break-Reason,Increase Motivation
14,The slump is real,So is your comeback. Start today.,Break-Reason,Increase Motivation
15,Tired of talking about it?,Do something different for 30 days.,Break-Reason,Increase Motivation
16,"$40 here, $60 there...",It adds up. Clear30 helps stop the bleed.,Break-Reason,Save Money
17,Where'd your money go?,Weed. Probably. Wanna switch that up?,Break-Reason,Save Money
18,You ever do the math?,30 days off = real savings.,Break-Reason,Save Money
19,Weed tax is real,Take a break. Reclaim your cash.,Break-Reason,Save Money
20,Connection > distraction,Take a break. Be more available.,Break-Reason,Improve Current Relationships
21,"High, but disconnected",Clear30 helps rebuild real connection.,Break-Reason,Improve Current Relationships
22,Feeling kind of alone?,Clarity can help open things up.,Break-Reason,Enhance Social Connections
23,Social but not connected?,Clear30 clears the static.,Break-Reason,Enhance Social Connections
24,You're not just background energy,Clear30 helps you light up a room.,Break-Reason,Enhance Social Connections
25,Clear mind. Clean results.,Start now. You've got this.,Break-Reason,Pass Work-Required Drug Test
26,Eyes on the goal,Clear30 helps you stay eligible + focused.,Break-Reason,Pass Work-Required Drug Test
27,Clean test = open door,Clear30 helps you walk through it.,Break-Reason,Pass Work-Required Drug Test
28,Most people wait too long,You've got time. Let's use it right.,Break-Reason,Pass Work-Required Drug Test
29,Forget fake detox kits,Clear30 actually helps you stay clean.,Break-Reason,Pass Work-Required Drug Test
30,Clean record > close call,30 days can help you stay on track.,Break-Reason,Meet Legal Obligations
31,Freedom hits different,Clear30 helps you protect it.,Break-Reason,Meet Legal Obligations
32,Freedom takes discipline,Clear30 helps you lock that in.,Break-Reason,Meet Legal Obligations
33,You've come too far,Stay clean. Protect what you've built.,Break-Reason,Meet Legal Obligations
34,Wake up proud,"30 days = more energy, less regret.",,
35,"Clear head, less weed",Clarity hits different when you take a break.,,
36,Quit weed. Keep your edge.,Your sharpest self is one tap away,,
37,Less weed. More you.,"Feel sharper, calmer, more alive.",,
38,Weed got too routine?,Break the autopilot. Clear30 can help.,,
39,Imagine 30 days clear,"No weed. Better sleep, energy, focus.",,
40,One tap from clarity 👑,"Cut the weed, keep your power.",,
41,You're not quitting forever.,You're just seeing what's possible.,,
42,Glow-up starts here,Cut the haze. Tap in.,,
43,Clear mind energy,One break away. Try it.,,
44,Peace > Numb,A break can help. Just tap.,,
45,Main character moment,Cut the haze. Take back the plot.,,
46,Take the fog off,Clarity looks better on you.,,
47,Still in airplane mode?,Clear30 reconnects you. Try it.,,
48,Imagine 30 days clear,Sleep deeper. Think sharper. Save money.,,
49,Less autopilot. More intention.,Clear30 helps you take the wheel.,,
50,Want to reset without pressure?,We guide. You decide. Tap to start.,,
51,Your future self is watching,This might be their favorite decision.,,
