id,category,days_without_weed,percentage,text,citation,minute_offset,notification_title,notification_body
1,Brain,0,9,THC begins clearing from the brain initiating CB₁ receptor recovery,Hirvonen J et al. Mol Psychiatry. 2012;17(6):642–649.,20,🧠 Brain divorce proceedings,THC got served papers. See the details.
16,Heart,0,8,Resting heart rate begins decreasing as THC's stimulating effects wear off,Jones RT. J Clin Pharmacol. 2002;42(S1):58S–63S. Vandrey R et al. J Addict Med. 2011;5(1):16–20.,300,💓 Heart taking a breather,Slowing down to a new rhythm.
2,Brain,1,18,CB₁ receptor availability begins returning toward baseline,Hirvonen J et al. 2012.,100,📊 Neurons plotting revenge,Secret brain coup in progress. Details inside.
27,Lungs,1,7,Carbon monoxide (CO) levels in the blood begin returning to normal improving oxygen delivery to tissues,SolutionHealth – A Timeline of What Happens After You Quit Smoking,0,👋 CO getting ghosted,Your blood's moving on. See how.
17,Heart,2,17,Blood pressure begins stabilizing after temporary elevation during early withdrawal,Vandrey R et al. 2011.,-100,📉 Boring blood pressure,In the best way possible.
28,Lungs,2,19,Cilia in the respiratory tract begin regenerating increasing the lungs' ability to clear mucus and debris,Mayo Clinic – Smoking Detox and Lung Recovery,200,🧹 Airway janitors rehired,Cleaning crew back on duty.
3,Brain,3,28,Endocannabinoid signaling strengthens supporting memory and attention,Broyd SJ et al. JAMA Psychiatry. 2016;73(7):711–720.,0,🔍 Attention span comeback,Your focus entered the chat. Take a look.
18,Heart,4,29,Endothelial function begins improving enhancing blood vessel dilation and circulation,Rezkalla SH & Kloner RA. Trends Cardiovasc Med. 2019;29(7):403–407. Reddy LV et al. J Clin Med. 2020;9(6):1925.,60,🚿 Blood vessel spa day,Relaxing and expanding. See how.
29,Lungs,5,31,Symptoms of chronic bronchitis (cough phlegm wheeze) begin to decrease after quitting cannabis,Hancox RJ et al. Effects of quitting cannabis on respiratory symptoms. Eur Respir J. 2015;46(1):80–87.,242,📢 Lungs' emo phase over,"Less wheezing, more breathing."
4,Brain,6,42,CB₁ receptor density increases in brain regions linked to attention and motivation,Zamberletti E et al. Br J Pharmacol. 2017;174(19):3131–3146.,78,⚡ Brain rewiring alert,Motivation stations powered up. Tap to see.
30,Lungs,7,39,Coughing may temporarily increase as cilia regain function and mucus is actively cleared from the lungs,Mayo Clinic – Smoking Detox and Lung Recovery,0,🧻 Cough = spring cleaning,Lungs Marie Kondo-ing old junk.
