id,title,body,question_id,question_response
1,🔮 A fortune teller told us you’d check in today.,Don’t prove them wrong. 👁️ 🐽👁️,,
2,"🎶 Like a good neighbor, Clear30 is there!",With a reminder to check in on the app 💚,,
3,Your entire bloodline is cheering you on ✨,✅ They're waiting for you to check in on Clear30 _CLIENTNAME_,,
4,1ASD$HASJH32DJASLSA,"Sorry my dog stepped on my keyboard... 😅

Tryna check in on Clear30?",,
5,"""🤖 Hey GPT...","Can you write a message for _CLIENTNAME_ to get them to check in on Clear30""",,
6,"🌹🌸💐🌺🌷🌻🪻
",Hey _CLIENTNAME_ I picked some flowers for you. And wanna remind you to checkinnnnn :),,
7,😪Nice guys always finish last,"Why does everyone choose instachat and snapgram over ME? 

I'm a fun app! I just want to help you 🥺",,
8,"🛑 DON'T CHECK IN TODAY
",Definitely DO NOT. Don't check in on Clear30. Please don't. Just don't do it.,,
9,"I like Chicken 🐔
","Wait... Did I say Chicken?
I meant Checking In.
Like on Clear30 ya know",,
10,💰 Get your money up!,"🤣 Not your funny up...

What I'm trying to say _CLIENTNAME_ is you should check in ✅",,
11,♟️Are you playing Checkers or chess?,"Cause you gotta check in to be the best...

Mic Drop 🎤🤯",,
12,"Me when you check in: 
",😋,,
13,Me when you don't check in ,😖,,
14,Are you suffering from...,"✨Sub-Optimal Aura✨
If so - 
✅Check IN✅",,
15,🚨THIS IS THE IRS YOU OWE US $$,jk - its Clear30 reminding you to checkin,,
16,"You smoke today?
",☕️💅 Fill us innnnn,,
17,We cant solve all your problems...,"But we can solve some :) 
If you Check In _CLIENTNAME_",,
18,"There's no comparison...
","😢👮 Police checking your vehicle
vs.
🤩💚 _CLIENTNAME_ checking in on C30",,
19,Ch ch ch ch ch...,💪😎Check in,,
20,🙏 NI KCEHC,Can you decipher the riddle above _CLIENTNAME_?,,
21,"🫅I DECLARE...
",That it is time for you to check in _CLIENTNAME_!,,
22,🌈Life when you check in,🌨️Life when you don't check in,,
23,💍Will you...,"Make me the happiest app in the word?

And Check-in?",,
