category,days_without_weed,minute_offset,percentage,text,citation,id
Brain,1,30,9,THC begins clearing from the brain initiating CB₁ receptor recovery,Hirvonen J et al. Mol Psychiatry. 2012;17(6):642–649.,1
Brain,2,17,18,CB₁ receptor availability begins returning toward baseline,Hirvonen J et al. 2012.,2
Brain,4,0,28,Endocannabinoid signaling strengthens supporting memory and attention,Broyd SJ et al. JAMA Psychiatry. 2016;73(7):711–720.,3
Brain,7,78,42,CB₁ receptor density increases in brain regions linked to attention and motivation,Zamberletti E et al. Br J Pharmacol. 2017;174(19):3131–3146.,4
Brain,10,43,49,Anandamide and 2-AG levels begin stabilizing as the ECS normalizes,Cota D et al. J Neuroendocrinol. 2007;19(1):35–53.,5
Brain,14,45,55,CB₁ receptor recovery continues in the hippocampus a region central to memory and learning,Villares J. Neuroscience. 2007;145(1):323–334.,6
Brain,17,0,61,Stabilized CB₁ signaling supports reduced mental fatigue and better cognitive endurance,Ceccarini J et al. Brain Res. 2015;1628:190–197.,7
Brain,21,0,75,ECS balance improves helping regulate sleep and emotional recovery,Vandrey R et al. Drug Alcohol Depend. 2011;117(1):38–44.,8
Brain,26,89,82,Endocannabinoid system function continues stabilizing supporting emotional regulation and cognitive control,Hirvonen J et al. 2012.,9
Brain,30,39,87,CB₁ receptor availability returns to baseline in most brain regions restoring cognitive and motivational balance,Hirvonen J et al. 2012; Volkow ND et al. N Engl J Med. 2014;370:2219–2227.,10
Brain,40,184,91,CB₁ receptor normalization strengthens across cortical and limbic regions improving communication between brain areas tied to focus and motivation,Hirvonen J et al. 2012; Ceccarini J et al. 2015.,11
Brain,50,178,93,Verbal learning and memory performance show continued improvement following sustained abstinence,Schuster RM et al. Exp Clin Psychopharmacol. 2016;24(1):10–22.,12
Brain,60,69,96,Working memory and executive function approach non-user baselines; frontal cortex activity becomes more efficient during cognitive tasks,Battistella G et al. Biol Psychiatry. 2014;75(6):472–481.,13
Brain,75,-34,98,Brain perfusion and neural connectivity patterns normalize; mood and motivation regulation improve alongside stable ECS signaling,Filbey FM et al. JAMA Psychiatry. 2014;71(7):818–827.,14
Brain,90,83,100,Long-term CB₁ receptor homeostasis achieved. Cognitive emotional and motivational systems function near baseline supporting sustained clarity and balance,Hirvonen J et al. 2012; Ceccarini J et al. 2015; Volkow ND et al. 2014.,15
Heart,1,123,14,Resting heart rate begins decreasing as THC's stimulating effects wear off,Jones RT. J Clin Pharmacol. 2002;42(S1):58S–63S. Vandrey R et al. J Addict Med. 2011;5(1):16–20.,16
Heart,2,-34,29,Blood pressure begins stabilizing after temporary elevation during early withdrawal,Vandrey R et al. 2011.,17
Heart,5,0,43,Endothelial function begins improving enhancing blood vessel dilation and circulation,Rezkalla SH & Kloner RA. Trends Cardiovasc Med. 2019;29(7):403–407. Reddy LV et al. J Clin Med. 2020;9(6):1925.,18
Heart,10,125,63,Risk factors associated with arrhythmia begin decreasing as autonomic balance normalizes,Desai R et al. J Am Coll Cardiol. 2020;75(11):1111.,19
Heart,20,0,78,Inflammatory markers linked to cannabis use begin declining easing vascular stress,Skosnik PD et al. Acta Neuropsychiatr. 2016;28(5):234–241.,20
Heart,30,92,88,Overall cardiovascular function improves relative to cannabis baseline with steadier heart rate blood pressure and vascular tone,Rezkalla SH & Kloner RA 2019; Jones RT 2002.,21
Heart,40,35,92,Vascular elasticity improves as endothelial function continues to strengthen; circulation efficiency increases,Reddy LV et al. 2020; Rezkalla SH & Kloner RA 2019.,22
Heart,50,-94,94,Markers of oxidative stress begin to normalize supporting healthier arterial tone and blood flow,Pacher P et al. Am J Physiol Heart Circ Physiol. 2018;314(1):H1–H17.,23
Heart,60,-69,95,Heart rate variability (HRV) improves indicating balanced autonomic nervous system function,Gruber SA et al. Front Psychiatry. 2021;12:619950.,24
Heart,75,12,99,Sustained abstinence supports long-term vascular and inflammatory health lowering overall cardiovascular load,Pletcher MJ et al. JAMA. 2012;307(2):173–181.,25
Heart,90,17,100,Circulatory efficiency and cardiac resilience approach baseline; consistent abstinence supports healthy heart rate blood pressure and vessel function,Rezkalla SH & Kloner RA 2019; Reddy LV et al. 2020; Pletcher MJ et al. 2012.,26
Lungs,1,0,7,Carbon monoxide (CO) levels in the blood begin returning to normal improving oxygen delivery to tissues,SolutionHealth – A Timeline of What Happens After You Quit Smoking,27
Lungs,3,0,19,Cilia in the respiratory tract begin regenerating increasing the lungs' ability to clear mucus and debris,Mayo Clinic – Smoking Detox and Lung Recovery,28
Lungs,5,242,31,Symptoms of chronic bronchitis (cough phlegm wheeze) begin to decrease after quitting cannabis,Hancox RJ et al. Effects of quitting cannabis on respiratory symptoms. Eur Respir J. 2015;46(1):80–87.,29
Lungs,7,0,39,Coughing may temporarily increase as cilia regain function and mucus is actively cleared from the lungs,Mayo Clinic – Smoking Detox and Lung Recovery,30
Lungs,10,-30,52,Inflammation in the airways begins to reduce improving lung reactivity and easing irritation,Tashkin DP. Effects of marijuana smoking on the lungs. Ann Am Thorac Soc. 2013;10(3):239–247.,31
Lungs,14,0,61,Lung function indicators (e.g. FEV₁ and FVC) begin to measurably improve,Hancox RJ et al. Eur Respir J. 2015.,32
Lungs,18,0,74,Small airway resistance continues to decline improving airflow efficiency,Tashkin DP. Ann Am Thorac Soc. 2013.,33
Lungs,22,0,81,Respiratory endurance and airflow continue to improve as inflammation and mucus buildup decline,Supported by Hancox RJ et al. 2015 and Tashkin DP 2013.,34
Lungs,26,0,86,Airways continue stabilizing as inflammation remains low and cilia function strengthens,Healthline – Lung Function After Quitting Smoking,35
Lungs,30,12,91,Early recovery phase complete; lungs are defending themselves more efficiently with reduced irritation and restored airflow,Hancox RJ et al. 2015; Tashkin DP 2013.,36
Lungs,40,-89,93,Airway irritation continues to subside as the lining of the respiratory tract returns to normal structure and mucus clearance stabilizes,Tashkin DP. Ann Am Thorac Soc. 2013.,37
