id,title,tag_names,heading,subheading,proof,instructions,caution,amazon_link,created_at,updated_at,active
1,N-Acetylcysteine (NAC),"[""Cravings"",""Irritability"",""Mood""]",Best human evidence for cutting cannabis cravings and supporting abstinence,Normalizes glutamate–dopamine signaling. May reduce urges in other addictions and support mood regulation.,"[{""link"":""https://www.sciencedirect.com/science/article/abs/pii/S0376871617302624"",""text"":""Teens with CUD taking 1,200 mg twice daily had higher abstinence vs placebo in an RCT""},{""link"":""https://pubmed.ncbi.nlm.nih.gov/22706327/"",""text"":""2022 review: overall signals for reduced use/craving; mechanism fits addiction biology""}]","[""🍳 Morning: 600–1,200 mg with breakfast"",""🌆 Evening: 600–1,200 mg (optional) if cravings hit later"",""🌙 Night: Not required"",""💨 Before usual smoke time: An extra 600 mg 30–60 min prior can blunt cue-triggered cravings""]","May potentiate nitroglycerin (low blood pressure, headache); can thin blood; GI upset possible. Talk to your clinician if on anticoagulants or before surgery.",https://www.amazon.com/Life-Extension-N-Acetyl-L-Cysteine-Vegetarian-Capsules/dp/B008ML8D4O/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
2,"Cannabidiol (CBD, THC-free)","[""Cravings"",""Anxiety"",""Sleep""]",Human trial evidence that oral CBD reduces cannabis use,May calm anxiety and improve sleep without a 'high'. General anxiolytic effects; may smooth mood swings.,"[{""link"":""https://psychiatryonline.org/doi/10.1176/appi.ajp.2012.12010055"",""text"":""Phase 2a RCT: CBD 400–800 mg/day ↓ cannabis use vs placebo over 4 weeks""},{""link"":""https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210365s012s013lbl.pdf"",""text"":""CBD has meaningful drug–drug interaction and liver enzyme signals at higher doses""}]","[""🍳 Morning: 50–150 mg (optional) for daytime anxiety"",""🌆 Evening: 100–300 mg for wind-down"",""🌙 Night: 100–300 mg for sleep"",""💨 Before usual smoke time: 50–150 mg 60 min before triggers""]","CBD inhibits CYP enzymes (e.g., CYP2C19/3A4) ↑ can raise levels of SSRIs, benzos, antiepileptics, warfarin; monitor and consult a clinician. Liver enzyme elevations reported at higher doses and with valproate.",(placeholder),2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,false
3,Melatonin,"[""Sleep"",""Dreams""]",Resets sleep rhythm to counter rebound insomnia and vivid dreams,During cannabis break. May improve sleep quality; calming.,"[{""link"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC9366042/"",""text"":""Systematic review in substance use: mixed across drugs, but sleep and mood improved in several groups""},{""link"":""https://pubmed.ncbi.nlm.nih.gov/38491827/"",""text"":""THC-withdrawn mice: melatonin reduced withdrawal-like behaviors; mechanistic support""}]","[""🌙 Night: 1–3 mg 30–60 min before bed; use nightly for 1–2 weeks, then taper off""]",Avoid combining with sedatives; fluvoxamine (CYP1A2 inhibitor) can boost melatonin levels ~12–17×—avoid that combo. May cause next-day drowsiness or vivid dreams.,https://www.amazon.com/Amazon-Brand-Melatonin-Gummies-Serving/dp/B07BBFFTKH/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
4,Magnesium (glycinate preferred),"[""Anxiety"",""Muscle Tension"",""Sleep""]","Calms the nervous system, easing withdrawal-related anxiety",NMDA blockade helps sleep. Stress resilience; may cut withdrawal severity (shown in opioids).,"[{""link"":""https://pubmed.ncbi.nlm.nih.gov/12887140/"",""text"":""RCT: magnesium improved sleep in primary insomnia""},{""link"":""https://www.jsatjournal.com/article/S2949-8759%2824%2900019-5/abstract"",""text"":""Double-blind clinical trial: IV magnesium reduced opioid withdrawal severity""}]","[""🌆 Evening: 200–300 mg (common) with a snack"",""🌙 Night: If sensitive, split dose and take bulk at night"",""💨 Before usual smoke time: 100–200 mg if evening anxiety is a trigger""]",Kidney disease—avoid high doses (accumulation). Can cause loose stools (citrate > glycinate). May enhance effects of other BP-lowering or CNS-depressant meds.,https://www.amazon.com/Natures-Bounty-Absorption-Supporting-Relaxation/dp/B0DT1JKGPH/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
5,Omega-3 (Fish Oil; high EPA),"[""Mood"",""Irritability"",""Stress""]",Supports mood and endocannabinoid balance,Early trials show reduced cravings in smokers (addiction-relevant). Brain and heart health; anti-inflammatory.,"[{""link"":""https://journals.sagepub.com/doi/10.1177/0269881114536477"",""text"":""RCTs: omega-3 reduced cigarette craving and consumption vs placebo""},{""link"":""https://pubmed.ncbi.nlm.nih.gov/21278728/"",""text"":""Endocannabinoid link: omega-3 deficiency impairs CB1-mediated synaptic function""}]","[""🍳 Morning: 1,000–2,000 mg EPA+DHA with food"",""🌆 Evening/Night: Split dose if needed"",""💨 Before usual smoke time: Take with the prior meal for steadier levels""]",High doses can increase bleeding risk (warfarin/anticoagulants) and should be stopped before surgery; take with meals to reduce GI upset.,https://www.amazon.com/Omega-Fish-Oil-2250mg-Nutrition/dp/B01GV4O37E/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
6,L-Theanine,"[""Anxiety"",""Focus""]",Promotes 'calm focus' to smooth anxiety/irritability without sedation,"Sleep quality, attention under stress.","[{""link"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC6836118/"",""text"":""4-week RCT: 200 mg/day improved anxiety, sleep quality, and executive function in stressed adults""},{""link"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC8475422/"",""text"":""Placebo-controlled data show physiological relaxation (↑ alpha waves) and reduced state anxiety""},{""link"":""https://pubmed.ncbi.nlm.nih.gov/21208586/"",""text"":""Clinical adjunct trials suggest anxiolytic effects in severe anxiety spectra""}]","[""🍳 Morning: 100–200 mg; pair with coffee if you use caffeine"",""🌆 Evening: 100–200 mg if anxious"",""🌙 Night: 100–200 mg for pre-sleep calm (non-sedating)"",""💨 Before usual smoke time: 100–200 mg 30–60 min before known triggers""]",Generally well-tolerated; may mildly lower blood pressure and can enhance sedatives.,https://www.amazon.com/L-Theanine-200mg-Natures-Trove-Vegetarian/dp/B01D1YQBOK/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
7,Passionflower (Passiflora incarnata),"[""Anxiety"",""Sleep""]",Herbal anxiolytic; animal data show it blocks THC-withdrawal signs,"Human data show less anxiety during opioid detox. Sleep quality, pre-op anxiety.","[{""link"":""https://pubmed.ncbi.nlm.nih.gov/31527485/"",""text"":""THC-dependent mice: benzoflavone from passionflower prevented withdrawal""},{""link"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC6770181/"",""text"":""Opioid withdrawal RCT: added passionflower ↓ anxiety/mental symptoms vs clonidine alone""}]","[""🌆 Evening: 250–500 mg standardized extract"",""🌙 Night: 250–500 mg 30–60 min before bed"",""💨 Before usual smoke time: 250 mg if evening anxiety is a trigger""]",Additive sedation with alcohol/benzos; avoid in pregnancy.,https://www.amazon.com/NOW-Passion-Flower-350-Capsules/dp/B002J0KCQ6/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
8,Citicoline (CDP-choline),"[""Brain Fog"",""Focus"",""Energy""]",Cognitive support; improves attention/executive function in cannabis users,500 mg/day for 8 weeks showed improvement. Supports membrane repair and dopamine signaling.,"[{""link"":""https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366%2820%2930290-X/abstract"",""text"":""RCT in adult cannabis users showed attention/task performance gains on citicoline vs placebo""}]","[""🍳 Morning: 250–500 mg with food"",""🌆 Evening: 250 mg (optional) if splitting"",""🌙 Night: Avoid (can be alerting)"",""💨 Before usual smoke time: 250 mg if you reach for cannabis out of low focus""]","Usually well-tolerated; rare insomnia, headache, or GI upset. Use caution with bipolar disorder (any activating agent could aggravate mania).",https://www.amazon.com/Choline-Citicoline-Supplement-Pharmaceutical-Capsules/dp/B01A3BED8U/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
9,L-Tyrosine,"[""Energy"",""Brain Fog""]",Dopamine precursor that maintains alertness under stress/sleep loss,Supportive (not a craving treatment). Supports working memory in cold/overnight stress.,"[{""link"":""https://uknowledge.uky.edu/behavsci_facpub/37/"",""text"":""Under sleep deprivation and stress, tyrosine restored cognitive performance acutely in controlled studies""}]","[""🍳 Morning: 500 mg on an empty stomach"",""🌆 Evening/Night: Avoid if it makes you wired"",""💨 Before usual smoke time: 500 mg if you typically smoke to push through fatigue""]",Avoid with hyperthyroidism; use caution in bipolar disorder (may trigger agitation); don't stack with stimulants without medical guidance.,https://www.amazon.com/NOW-Supplements-L-Tyrosine-500-Capsules/dp/B0013OUPSE/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
10,Vitamin-B Complex,"[""Energy"",""Focus"",""Stress""]",Addresses fatigue and cognition by correcting possible B-vitamin shortfalls,RCTs show reduced work stress and improved mood in healthy adults. Supports nerve health; B12 deficiency causes fatigue and cognitive issues.,"[{""link"":""https://pubmed.ncbi.nlm.nih.gov/21905094/"",""text"":""90-day RCTs: high-dose B complex reduced perceived stress and improved mood in working adults""},{""link"":""https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/"",""text"":""B12 deficiency is linked to fatigue and cognitive symptoms; correcting deficiency improves energy""}]","[""🍳 Morning: Standard B-complex or B-100 with food"",""🌆 Evening/Night: Avoid (can be alerting)"",""💨 Before usual smoke time: If energy slumps trigger use, ensure you've taken your morning dose""]",Generally safe; very high B6 for long periods can cause neuropathy—use labeled doses.,https://www.amazon.com/Nature-Made-Complex-Vitamin-Tablets/dp/B005D0DTS2/,2025-08-20 18:07:26.392526,2025-08-20 18:07:26.392526,true
