id,day,message
1,2025-01-01,"🥳🕺 New Year, New _CLIENTNAME_??

Ehhh… I don’t think so.

Who said you have to reinvent yourself just because the calendar flipped? You’re already awesome. 🤝

But—if you do wanna start 2026 off with a Clear30, we gotchu.

👉 Join here: clear30://"
2,,"🐿️🎉 Phil has spoken!!

Our groundhog says spring is coming

might be a good time to take a break from weed so you can pop out in the warm weather with ✨that energy✨"
3,,"🐿️🎉 Phil has spoken!!

Our groundhog says winter is gonna last SIX MORE WEEKS

This isn't great news for everyone - but on the bright side - you'll have enough time to take a clear30 before the Spring.

So by the time it gets warm - you can pop out with ✨that energy✨"
4,2025-03-01,"📅 March is here, _CLIENTNAME_!

Why don’t you MARCH 🚶‍♂️ your butt over to Clear30 and try a mindful break from weed?

😬 Whoa—sorry, that felt way too aggressive. Very off-brand for us.

Really, just do what feels right. We’d rather you be happy & healthy 💚 than pressure you into using our (very cool, very awesome) app.

But if a March Clear30 sounds good, you can start here: 👉 clear30://"
5,2025-04-01,"😪 Hey _CLIENTNAME_ with great saddness I wanted to let you know that Clear30 is shutting down and becoming a hotdog company. 🌭

It was the honor of a lifetime to be there for tens of thousands who wanted to re-examine their relationship with weed and take a Clear30. 💚

😏

🥳🎉 APRIL FOOLS

We're still here for you if you want to take a break - whether you wanna start now or wait till the day after 4/20. We're not goin doin THAT easy.

👉 I want to start NOW: clear30://
👉 I want to start on 4/21: clear30.org/421"
6,2025-05-01,"🌸Time flys _CLIENTNAME_ - Its MAY all of the sudden.

And this May you have a choice - what type of month is it gonna be?

🥺👉👈""MAY I please rip the pen?""

or

😏😤""I MAY just take a Clear30 letsgooo""

Its up to you. There's no wrong choice - only what you want for yourself. 

If youre feeling it you can start today: clear30://"
7,2025-06-01,"📅 Hey _CLIENTNAME_ how many days are in June?

🤔 hmmm... 28? 31?

Wait... It's 30!

Thats a really cool number. It reminds me of something. 

That app that you got on your phone - what was it again? Clear42? 🤨

No way - everythings coming together!! 🤝 Clear30! 30 days in June!

_CLIENTNAME_ if you're thinking what I'm thinking - I got a clear30:// for you: 👉 clear30://"
8,2025-07-01,"🌷🌺 Remeber how the air used to smell? 

🤩 Summer 2016?

Colors were brighter, everyone was playing Pokemon GO, and things felt a bit more simple.

I don't know how to get there again - but I feel like a Clear30 could be a good step in the right direction. 

We can't bring back water bottle flips, but we can bring back the ✨energy✨

Start you July Clear30 today: 👉 clear30://"
9,2025-08-01,"🌻 August is here, and it's the BEST month to take a break!

And I know what you're gonna say...

🙄 ""Clear30, you try to get me to take a break like every month.""

True. But this time, I SWEAR it’s different.

✨ August is secretly the best month for a Clear30 ✨
✅ Zero holidays – No “but I have a party” excuses
🌞 Warm weather – Move, get outside, get dopamine naturally
📱 Your feed = people pretending they’re having fun – What if you actually did?

Start the best Clear30 in the best month: 👉 clear30://"
10,2025-09-28,"3️⃣ days, _CLIENTNAME_…

Sober October is coming. 🍂🚀

There’s nothing like a collective reset—the whole world taking a break together.

Hop on board here: 👉 clear30://"
11,2025-09-30,"It's upon us. Sober October begins at dawn. 🌞

Are you gonna fly solo or with a team? 

🦋 Going SOLO: clear30://

💫 Group Sober October: clear30://"
12,2025-10-01,"🏁 It's day one of Sober October!

If you don't wanna participate - its so totally okay.

We won't bother with our fun texts this WHOLE month - pinky promise 🤞

Buttttt - if you DO wanna take a break. Today is an absolutely amazing day to start.

✨ I'm startingggg: clear30://"
13,2025-10-31,"👻 BOO! It’s Clear30—Happy Halloween, _CLIENTNAME_! 🎃

You’ve set yourself up well—now, while everyone wraps up Sober October…


💥 BOOM! _CLIENTNAME_ified ✨Sober November✨ begins.

Kinda has a ring to it, right? 😉

Start here: 👉 clear30://"
14,2025-11-26,"🦃 Happy Turkey Day _CLIENTNAME_

Wait do you hear that??

👁️👃👁️

Its your cousins asking to ""go on a walk""

What are you gonna do? 

🚶‍♂️ Join them?

OR

🙅‍♀️🕸️ ""I'mma do my own thing""

You can start your Thanksgiving Clear30 here: clear30://"
15,2025-11-30,"🎅 ""HO HO HO _CLIENTNAME_ are you naughty or nice this year?""

🤔💭

🎅⁉️ ""hmmm. a better question: do you feel like you've been treating your body and mind well?""

If not, maybe it’s time for a Holiday Clear30. 🎄✨

👉 Start here: clear30://"
16,2025-12-28,"Happy almost new year _CLIENTNAME_! 🪩🍾

I would usually take this moment to yap about:

🙄 ""94% of people fail their new years resolutions... Clear30 keeps you accountable!""

BUT my resoltuion was to stop promoting C30 every chance I get.

So... just have a nice day 😁"
17,2025-12-31,"😫 ""nnnn""

😅 ""I got this""

😖 ""nnnn""

😤""I need to pull it together""

...

😱 ""NINTEY FOUR PERCENT OF PEOPLE FAIL THEIR NEW YEARS RESOLUTION BECAUSE THEY DONT HAVE AN ACCOUNTABILITY SYSTEM IN PLACE YOU SHOULD USE CLEAR30 FOR THE NEW YEAR!!! START HERE: clear30://""

🫤 ""‘I, uh… I failed my resolution of not bothering you about Clear30. My bad. I’ll just… see myself out, _CLIENTNAME_."""
